Abell 222                      01:37:34.00  -12:59:29.00  0.213  N   ABELL 222                      01:37:29.20  -12:59:10.00  0.213  hoekstra+15           2015MNRAS.449..685H     1.600   0.500   3.800   1.300   5.387   1.768   6.400   2.100   1.775   0.332   3.682   0.822   5.213   1.259
Abell 223S                     01:37:56.00  -12:49:10.00  0.207  N   ABELL 0223S                    01:37:55.98  -12:49:09.90  0.210  hoekstra+15           2015MNRAS.449..685H     1.900   0.600   4.700   1.450   6.714   2.098   8.000   2.500   2.003   0.348   4.261   0.887   6.110   1.383
Abell 223N                     01:38:02.30  -12:45:20.00  0.207  N   ABELL 0223N                    01:38:02.28  -12:45:19.70  0.210  hoekstra+15           2015MNRAS.449..685H     2.100   0.600   5.200   1.500   7.463   2.096   8.900   2.500   2.122   0.327   4.568   0.847   6.593   1.330
RX J0142.0+2131                01:42:03.31  +21:31:22.64  0.280  N   MCXC J0142.0+2131              01:42:02.60  +21:31:19.00  0.280  applegate+14          2014MNRAS.439...48A     1.847   0.743   4.621   1.860   6.678   2.688   7.858   3.162   2.045   0.489   4.340   1.190   6.216   1.819
Cl J0152-1357                  01:52:41.00  -13:57:45.00  0.840  N   WARP J0152.7-1357              01:52:41.00  -13:57:45.00  0.831  sereno&13             2013MNRAS.434..878S     1.062   0.249   2.577   0.580   3.683   1.161   4.046   1.369   1.835   0.203   3.463   0.762   4.667   1.355
ABELL 267                      01:52:52.26  +01:02:45.80  0.230  N   ABELL 267                      01:52:52.26  +01:02:45.80  0.231  okabe&15              2015arXiv150704493O     1.957   0.443   5.843   0.900   9.071   1.564  11.200   2.086   2.056   0.167   4.894   0.493   7.466   0.852
RX J0154.2-5937                01:54:13.72  -59:37:31.00  0.360  N   400d J0154-5937                01:54:14.80  -59:37:48.00  0.360  hoekstra+11           2011ApJ...726...48H     0.340   0.200   0.910   0.535   1.348   0.793   1.578   0.928   0.753   0.280   1.425   0.615   1.927   0.888
400d 0159+0030                 01:59:18.20  +00:30:09.00  0.390  N   NSCS J015924+003024            01:59:17.00  +00:30:10.40  0.386  israel+12             2012A%26A...546A..79I   1.458   0.641   3.452   1.518   4.893   2.151   5.611   2.466   1.846   0.440   3.680   1.083   5.104   1.672
CFHTLS c12-w1                  02:01:18.00  -07:39:03.60  0.140  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     0.109   0.023   0.260   0.055   0.369   0.078   0.443   0.094   0.297   0.044   0.497   0.083   0.633   0.112
CFHTLS c3-w1                   02:01:41.04  -05:01:48.00  0.280  NA  NA NA                          NA           NA            NA     shan+12               2012ApJ...748...56S     1.019   0.189   2.832   0.526   4.247   0.788   5.074   0.942   1.460   0.151   3.113   0.385   4.472   0.602
